,pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_orbsmax,pl_insol,pl_orbeccen,st_teff,st_rad,pl_dens
0,11 Com b,12.2,4914.89848585,323.21,,1.178,,0.238,4874.0,13.76,14.9
1,11 UMi b,12.3,4684.8142,516.21997,,1.53,,0.08,4213.0,29.79,13.8
2,14 And b,13.1,1131.15130051,186.76,,0.775,,0.0,4888.0,11.55,2.76
3,14 Her b,12.5,2828.6728223,1766.41,,2.839,,0.3683,5338.0,0.93,7.96
4,16 Cyg B b,13.5,565.7374,798.5,,1.66,,0.68,5750.0,1.13,1.26
5,17 Sco b,12.9,1373.01871824,578.38,,1.45,,0.06,4157.0,25.92,3.51
6,18 Del b,12.5,2926.24614325,982.85,,2.476,,0.024,4980.0,8.8,8.23
7,1RXS J160929.1-210524 b,18.647,3000.0,,1700.0,330.0,,,4060.0,1.31316,2.54
8,24 Boo b,13.9,280.64248338,30.33,,0.194,,0.032,4816.0,12.19,0.574
9,24 Sex b,13.4,632.46,452.8,,1.333,,0.09,5098.0,4.9,1.44
10,24 Sex c,13.9,273.32,883.0,,2.08,,0.29,5098.0,4.9,0.559
11,2M0437 b,13.0,1271.313628,,1450.0,118.0,,,3100.0,0.84,3.18
12,2MASS J01033563-5515561 AB b,12.3,4131.79,,,84.0,,,,,12.2
13,2MASS J01225093-2439505 b,11.209,7786.5,,1600.0,52.0,,,3530.0,0.36645,30.4
14,2MASS J02192210-3925225 b,16.14096,4417.837,,,156.0,,,3064.0,0.281,5.77
15,2MASS J0249-0557 c,12.4,3686.8095212,,,1950.0,,,2859.0,0.315959,10.6
16,2MASS J03590986+2009361 b,12.2,5720.911326,,2369.0,572.0,,,2943.0,0.289776,17.3
17,2MASS J04414489+2301513 b,12.6,2383.6,,,15.0,,,2936.0,0.231916,6.55
18,2MASS J11011926-7732383 b,11.9,8899.195396,,2677.0,266.0,,,,,29.0
19,2MASS J11550485-7919108 b,12.1,6356.56814,,2506.0,587.0,,,3021.0,0.600455,19.7
20,2MASS J12073346-3932539 b,15.69257298,1652.7077164,,1163.0,46.0,,,2825.0,0.21887,2.35
21,2MASS J19383260+4603591 b,13.4,603.877,406.0,,0.92,,0.33,29564.0,0.203,1.38
22,2MASS J21252752-8138278 b,12.4,3813.940884,,1616.0,7493.0,,,3592.0,0.672832,11.0
23,2MASS J22362452+4751425 b,12.3,3972.875,,,230.0,,,4045.0,0.641152,11.7
24,2MASS J22501512+2325342 b,11.9,9534.85221,,1600.0,518.0,,,3352.0,0.437589,31.1
25,4 UMa b,12.6,2511.48007211,270.27,,0.877,,0.453,4415.0,18.11,6.9
26,47 UMa b,13.2,804.08,1078.0,,2.1,,0.032,5872.0,1.21334,1.92
27,47 UMa c,14.2,171.621,2391.0,,3.6,,0.098,5872.0,1.21334,0.329
28,47 UMa d,13.5,521.22,14002.0,,11.6,,0.16,5872.0,1.21334,1.16
29,51 Eri b,,3464.3296363,9100.0,807.0,10.4,,0.57,7422.0,1.45,
30,51 Peg b,14.3,146.2018,4.230785,,0.0527,,0.013,5758.0,1.17561,0.275
31,55 Cnc B b,1.69,3.5,6.7994,,0.044,,0.0,3286.0,0.274,3.98
32,55 Cnc B c,2.16,5.3,33.747,,0.13,,0.0,3286.0,0.274,2.89
33,55 Cnc b,13.9,263.9785,14.651552,700.0,0.118,,0.0029,5198.0,0.98,0.54
34,55 Cnc c,8.51,54.4738,44.3936,,0.247,,0.088,5198.0,0.98,0.486
35,55 Cnc d,13.0,1232.493,4799.0,,5.6,,0.0913,5198.0,0.98,3.08
36,55 Cnc e,1.875,7.99,0.7365474,1958.0,0.01544,2657.8322,0.05,5172.0,0.943,6.66
37,55 Cnc f,7.59,44.812,260.58,,0.802,,0.063,5198.0,0.98,0.563
38,6 Lyn b,13.4,597.83523357,919.86,,2.028,,0.042,4941.0,4.94,1.37
39,61 Vir b,2.11,5.1,4.215,,0.050201,,0.12,5577.0,0.963,2.98
40,61 Vir c,4.46,18.2,38.021,,0.2175,,0.14,5577.0,0.963,1.13
41,61 Vir d,5.11,22.9,123.01,,0.476,,0.35,5577.0,0.963,0.943
42,7 CMa b,13.4,587.9855,735.1,,1.758,,0.06,4826.0,4.87,1.34
43,7 CMa c,13.9,276.5121,996.0,,2.153,,0.08,4826.0,4.87,0.566
44,70 Vir b,12.6,2380.45,116.688,,0.481,,0.3988,5495.0,1.89,6.54
45,75 Cet b,13.3,787.89662095,696.62,,1.912,,0.093,4809.0,10.38,1.84
46,75 Cet c,13.9,289.85950718,2051.62,,3.929,,0.023,4809.0,10.38,0.593
47,8 UMi b,13.5,524.41687155,93.31,,0.462,,0.062,4847.0,10.73,1.17
48,81 Cet b,13.1,1051.05854195,1005.57,,2.104,,0.037,4734.0,11.21,2.57
49,91 Aqr b,13.1,1017.0,181.4,,0.7,,0.027,4665.0,11.0,2.49
50,AB Aur b,12.5,2860.455663,,,93.9,,0.4,9770.0,2.95887,8.05
51,AB Pic b,12.3,4290.5,,,260.0,,,5285.0,0.999394,12.7
52,AF Lep b,13.0,1147.36054927,8905.0,1400.0,8.996,,0.015,6140.0,1.25,2.87
53,AT2021ueyL b,13.6,425.89006538,4168.69,,4.01,,,3680.0,,0.93
54,AU Mic b,4.79,8.99,8.463446,554.8,0.07,21.2,0.07,3540.0,0.862,0.49
55,AU Mic c,2.79,14.46,18.859023,424.7,0.119,7.3,0.18,3540.0,0.862,3.9
56,AU Mic d,1.02,1.053,12.73596,,,,0.00305,3678.0,0.744,5.45
57,AU Mic e,4.87,21.1,33.11,,,,,3665.0,0.82,1.0
58,BD+03 2562 b,12.7,2034.112,481.9,,1.3,,0.2,4095.0,32.35,5.46
59,BD+05 4868 A b,,6.2,1.271869,1820.0,0.0208,,,4596.0,0.69,
60,BD+14 4559 b,13.8,330.5432,268.94,,0.78,,0.29,4864.0,0.86,0.691
61,BD+15 2375 b,13.8,337.21763,153.22,,0.576,,0.001,4649.0,8.95,0.705
62,BD+15 2940 b,13.7,352.78,137.48,,0.539,,0.26,4796.0,14.7,0.754
63,BD+20 2457 b,12.1,6807.63,379.63,,1.45,,0.15,4137.0,49.0,21.1
64,BD+20 2457 c,12.4,3963.17,621.99,,2.01,,0.18,4137.0,49.0,11.4
65,BD+20 274 b,13.0,1334.886,578.2,,1.3,,0.21,4296.0,17.3,3.34
66,BD+20 594 b,2.57807,22.2481,41.6855,546.0,0.241,,0.0,5766.0,1.08,7.89
67,BD+37 3172 b,12.4,3368.9811142,1887.76,,4.65,,0.59,4500.0,50.24,9.71
68,BD+42 2315 b,14.2,174.80562385,123.05,,0.54,,0.73,4500.0,17.85,0.335
69,BD+45 564 b,13.6,432.24663352,307.88,,0.83,,0.12,5004.0,0.813064,0.944
70,BD+48 738 b,13.9,289.2253,392.6,,1.0,,0.2,4414.0,11.0,0.592
71,BD+48 740 b,13.5,540.311,733.0,,1.7,,0.76,4534.0,10.33,1.21
72,BD+49 828 b,13.5,508.5,2590.0,,4.2,,0.35,4943.0,7.6,1.14
73,BD+55 362 b,14.0,228.83645304,265.59,,0.78,,0.27,5012.0,0.896193,0.458
74,BD+60 1417 b,14.68376472,4767.426105,,1303.0,1662.0,,,4993.0,0.797,8.27
75,BD+63 1405 b,12.4,3305.4154328,1198.48,,2.06,,0.88,5000.0,0.804724,9.53
76,BD-06 1339 b,,1523.03372634,3.8728,,0.0428,,0.0,4324.0,0.686355,
77,BD-06 1339 c,8.38,53.0,125.94,,0.435,,0.31,4324.0,0.686355,0.495
78,BD-08 2823 b,,2948.49413174,5.6,,0.06,,0.15,4816.0,0.71,
79,BD-08 2823 c,12.5,104.0,237.6,,0.68,,0.19,4746.0,0.71,0.293
80,BD-10 3166 b,14.1,187.5197,3.48777,,0.04,,0.02,5393.0,0.91,0.368
81,BD-11 4672 b,14.1,206.5895,1634.0,,2.36,,0.05,4550.0,0.639,0.405
82,BD-11 4672 c,4.04,15.37,74.2,,0.3,,0.4,4550.0,0.639,1.28
83,BD-13 2130 b,12.5,3108.3774,714.29999,,1.66,,0.21,4545.0,19.17,8.75
84,BD-14 3065 b,21.59,3932.0,4.2889731,2001.0,0.0656,646.761,0.066,6935.0,2.35,2.15
85,BD-17 63 b,12.8,1639.99458012,655.57,,1.34,,0.5439,4714.0,0.74,4.3
86,BD-210397 b,14.0,214.0,1891.0,,2.63,0.02,0.1,4051.0,0.747,0.429
87,BD-210397 c,12.9,1525.5763536,6240.0,,5.9,0.0039,0.43,4051.0,0.747,3.91
88,BEBOP-3 b,14.2,177.34825111,547.0,,1.444,,0.247,6033.0,1.414,0.34
89,BEBOP-4 AB b,,8358.8871041,1823.5,,3.634,,0.428,5701.43,2.75645,
90,Barnard b,0.72,0.299,3.1542,438.0,0.0229,6.76,0.03,3195.0,0.185,4.4
